Vehicles to enrich with complaints: 1071

[1/1071] 2018 Acura MDX  ->  153 complaints, 0 new
[2/1071] 2018 Acura RDX  ->  72 complaints, 0 new
[3/1071] 2019 Acura MDX  ->  175 complaints, 0 new
[4/1071] 2020 Acura ILX  ->  9 complaints, 0 new
[5/1071] 2020 Acura MDX  ->  201 complaints, 0 new
[6/1071] 2020 Acura NSX  ->  0 complaints, 0 new
[7/1071] 2020 Acura RDX  ->  331 complaints, 0 new
[8/1071] 2020 Acura TLX  ->  61 complaints, 0 new
[9/1071] 2021 Acura ILX  ->  11 complaints, 0 new
[10/1071] 2021 Acura MDX  ->  0 complaints, 0 new
[11/1071] 2021 Acura NSX  ->  1 complaints, 0 new
[12/1071] 2021 Acura RDX  ->  100 complaints, 0 new
[13/1071] 2021 Acura TLX  ->  57 complaints, 0 new
[14/1071] 2022 Acura MDX  ->  112 complaints, 0 new
[15/1071] 2022 Acura RDX  ->  29 complaints, 0 new
[16/1071] 2023 Acura Integra  ->  206 complaints, 0 new
[17/1071] 2024 Acura MDX  ->  35 complaints, 0 new
[18/1071] 2024 Acura RDX  ->  10 complaints, 0 new
[19/1071] 2020 Alfa Romeo Stelvio  ->  7 complaints, 0 new
[20/1071] 2021 Alfa Romeo Stelvio  ->  4 complaints, 0 new
[21/1071] 2022 Alfa Romeo Stelvio  ->  4 complaints, 0 new
[22/1071] 2023 Alfa Romeo Stelvio  ->  0 complaints, 0 new
[23/1071] 2024 Alfa Romeo Stelvio  ->  0 complaints, 0 new
[24/1071] 2024 Alfa Romeo Tonale  ->  9 complaints, 0 new
[25/1071] 2018 Audi A4  ->  26 complaints, 0 new
[26/1071] 2018 Audi Q5  ->  194 complaints, 0 new
[27/1071] 2019 Audi A4  ->  5 complaints, 0 new
[28/1071] 2019 Audi Q5  ->  46 complaints, 0 new
[29/1071] 2020 Audi A3  ->  15 complaints, 0 new
[30/1071] 2020 Audi A4  ->  124 complaints, 0 new
[31/1071] 2020 Audi A6  ->  24 complaints, 0 new
[32/1071] 2020 Audi Q3  ->  63 complaints, 0 new
[33/1071] 2020 Audi Q5  ->  22 complaints, 0 new
[34/1071] 2020 Audi Q7  ->  25 complaints, 0 new
[35/1071] 2021 Audi A4  ->  11 complaints, 0 new
[36/1071] 2021 Audi A6  ->  15 complaints, 0 new
[37/1071] 2021 Audi Q3  ->  13 complaints, 0 new
[38/1071] 2021 Audi Q5  ->  64 complaints, 0 new
[39/1071] 2021 Audi Q7  ->  64 complaints, 0 new
[40/1071] 2022 Audi Q7  ->  0 complaints, 0 new
[41/1071] 2023 Audi Q8  ->  0 complaints, 0 new
[42/1071] 2023 Audi e-tron GT  ->  0 complaints, 0 new
[43/1071] 2024 Audi A4  ->  2 complaints, 0 new
[44/1071] 2024 Audi Q5  ->  17 complaints, 0 new
[45/1071] 2024 Audi Q7  ->  1 complaints, 0 new
[46/1071] 2024 Audi Q8  ->  18 complaints, 0 new
[47/1071] 2024 Audi e-tron GT  ->  0 complaints, 0 new
[48/1071] 2003 BMW 325i  ->  0 complaints, 0 new
[49/1071] 2003 BMW 330i  ->  0 complaints, 0 new
[50/1071] 2003 BMW X5  ->  114 complaints, 0 new
[51/1071] 2004 BMW 325i  ->  0 complaints, 0 new
[52/1071] 2004 BMW 330i  ->  0 complaints, 0 new
[53/1071] 2004 BMW X5  ->  127 complaints, 0 new
[54/1071] 2005 BMW 325i  ->  0 complaints, 0 new
[55/1071] 2005 BMW 330i  ->  0 complaints, 0 new
[56/1071] 2006 BMW 325i  ->  0 complaints, 0 new
[57/1071] 2006 BMW 330i  ->  0 complaints, 0 new
[58/1071] 2008 BMW 328i  ->  0 complaints, 0 new
[59/1071] 2009 BMW 328i  ->  0 complaints, 0 new
[60/1071] 2017 BMW 330i  ->  0 complaints, 0 new
[61/1071] 2017 BMW 530i  ->  17 complaints, 0 new
[62/1071] 2018 BMW 330i  ->  0 complaints, 0 new
[63/1071] 2018 BMW 530i  ->  0 complaints, 0 new
[64/1071] 2018 BMW X3  ->  72 complaints, 0 new
[65/1071] 2018 BMW X5  ->  66 complaints, 0 new
[66/1071] 2019 BMW 530i  ->  0 complaints, 0 new
[67/1071] 2019 BMW X3  ->  159 complaints, 0 new
[68/1071] 2019 BMW X5  ->  170 complaints, 0 new
[69/1071] 2020 BMW 330i  ->  0 complaints, 0 new
[70/1071] 2020 BMW 430i  ->  0 complaints, 0 new
[71/1071] 2020 BMW 530i  ->  0 complaints, 0 new
[72/1071] 2020 BMW X1  ->  12 complaints, 0 new
[73/1071] 2020 BMW X3  ->  102 complaints, 0 new
[74/1071] 2020 BMW X5  ->  93 complaints, 0 new
[75/1071] 2020 BMW X7  ->  47 complaints, 0 new
[76/1071] 2021 BMW 330i  ->  0 complaints, 0 new
[77/1071] 2021 BMW 430i  ->  0 complaints, 0 new
[78/1071] 2021 BMW 530i  ->  0 complaints, 0 new
[79/1071] 2021 BMW M3  ->  3 complaints, 0 new
[80/1071] 2021 BMW X1  ->  6 complaints, 0 new
[81/1071] 2021 BMW X3  ->  93 complaints, 0 new
[82/1071] 2021 BMW X5  ->  93 complaints, 0 new
[83/1071] 2021 BMW X7  ->  31 complaints, 0 new
[84/1071] 2022 BMW 330i  ->  0 complaints, 0 new
[85/1071] 2022 BMW 530i  ->  0 complaints, 0 new
[86/1071] 2022 BMW X1  ->  1 complaints, 0 new
[87/1071] 2023 BMW 330i  ->  0 complaints, 0 new
[88/1071] 2023 BMW X3  ->  10 complaints, 0 new
[89/1071] 2023 BMW X5  ->  28 complaints, 0 new
[90/1071] 2023 BMW i4  ->  0 complaints, 0 new
[91/1071] 2023 BMW iX  ->  37 complaints, 0 new
[92/1071] 2024 BMW 330i  ->  0 complaints, 0 new
[93/1071] 2024 BMW 530i  ->  13 complaints, 0 new
[94/1071] 2024 BMW X1  ->  30 complaints, 0 new
[95/1071] 2024 BMW X3  ->  30 complaints, 0 new
[96/1071] 2024 BMW X5  ->  139 complaints, 0 new
[97/1071] 2024 BMW i4  ->  0 complaints, 0 new
[98/1071] 2024 BMW iX  ->  31 complaints, 0 new
[99/1071] 2021 Bentley Bentayga  ->  0 complaints, 0 new
[100/1071] 2022 Bentley Bentayga  ->  0 complaints, 0 new
[101/1071] 2020 Buick Enclave  ->  49 complaints, 0 new
[102/1071] 2020 Buick Encore  ->  18 complaints, 0 new
[103/1071] 2020 Buick Envision  ->  10 complaints, 0 new
[104/1071] 2021 Buick Enclave  ->  21 complaints, 0 new
[105/1071] 2021 Buick Encore  ->  8 complaints, 0 new
[106/1071] 2021 Buick Envision  ->  23 complaints, 0 new
[107/1071] 2022 Buick Enclave  ->  12 complaints, 0 new
[108/1071] 2022 Buick Encore GX  ->  25 complaints, 0 new
[109/1071] 2023 Buick Encore GX  ->  22 complaints, 0 new
[110/1071] 2024 Buick Enclave  ->  7 complaints, 0 new
[111/1071] 2024 Buick Encore GX  ->  24 complaints, 0 new
[112/1071] 2024 Buick Envision  ->  9 complaints, 0 new
[113/1071] 2018 Cadillac Escalade  ->  20 complaints, 0 new
[114/1071] 2019 Cadillac Escalade  ->  23 complaints, 0 new
[115/1071] 2020 Cadillac CT5  ->  32 complaints, 0 new
[116/1071] 2020 Cadillac Escalade  ->  13 complaints, 0 new
[117/1071] 2020 Cadillac XT4  ->  16 complaints, 0 new
[118/1071] 2020 Cadillac XT5  ->  20 complaints, 0 new
[119/1071] 2020 Cadillac XT6  ->  35 complaints, 0 new
[120/1071] 2021 Cadillac CT5  ->  19 complaints, 0 new
[121/1071] 2021 Cadillac Escalade  ->  71 complaints, 0 new
[122/1071] 2021 Cadillac Escalade ESV  ->  78 complaints, 0 new
[123/1071] 2021 Cadillac XT4  ->  11 complaints, 0 new
[124/1071] 2021 Cadillac XT5  ->  11 complaints, 0 new
[125/1071] 2021 Cadillac XT6  ->  17 complaints, 0 new
[126/1071] 2022 Cadillac CT4  ->  6 complaints, 0 new
[127/1071] 2022 Cadillac CT5  ->  7 complaints, 0 new
[128/1071] 2022 Cadillac Escalade  ->  67 complaints, 0 new
[129/1071] 2022 Cadillac Escalade ESV  ->  51 complaints, 0 new
[130/1071] 2023 Cadillac CT4  ->  3 complaints, 0 new
[131/1071] 2023 Cadillac CT5  ->  11 complaints, 0 new
[132/1071] 2023 Cadillac LYRIQ  ->  24 complaints, 0 new
[133/1071] 2024 Cadillac Escalade  ->  38 complaints, 0 new
[134/1071] 2024 Cadillac LYRIQ  ->  106 complaints, 0 new
[135/1071] 2024 Cadillac XT5  ->  10 complaints, 0 new
[136/1071] 2003 Chevrolet Avalanche  ->  422 complaints, 0 new
[137/1071] 2003 Chevrolet Impala  ->  721 complaints, 0 new
[138/1071] 2003 Chevrolet Malibu  ->  610 complaints, 0 new
[139/1071] 2003 Chevrolet Silverado 1500  ->  0 complaints, 0 new
[140/1071] 2003 Chevrolet Suburban  ->  328 complaints, 0 new
[141/1071] 2003 Chevrolet Tahoe  ->  534 complaints, 0 new
[142/1071] 2003 Chevrolet TrailBlazer  ->  1266 complaints, 0 new
[143/1071] 2004 Chevrolet Avalanche  ->  318 complaints, 0 new
[144/1071] 2004 Chevrolet Colorado  ->  361 complaints, 0 new
[145/1071] 2004 Chevrolet Impala  ->  1071 complaints, 0 new
[146/1071] 2004 Chevrolet Malibu  ->  1697 complaints, 0 new
[147/1071] 2004 Chevrolet Silverado 1500  ->  0 complaints, 0 new
[148/1071] 2004 Chevrolet Suburban  ->  406 complaints, 0 new
[149/1071] 2004 Chevrolet Tahoe  ->  466 complaints, 0 new
[150/1071] 2004 Chevrolet TrailBlazer  ->  1368 complaints, 0 new
[151/1071] 2005 Chevrolet Colorado  ->  356 complaints, 0 new
[152/1071] 2005 Chevrolet Equinox  ->  638 complaints, 0 new
[153/1071] 2005 Chevrolet Silverado 1500  ->  0 complaints, 0 new
